City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
531,Cayenne,4.9333,-52.3333,77.04,94,75,0.0,GF,2022-09-13 03:00:08
532,Ust-Kulom,61.6864,53.6902,42.76,86,100,5.61,RU,2022-09-13 03:02:23
533,Vao,-22.6667,167.4833,74.39,82,100,11.1,NC,2022-09-13 03:02:23
534,Ilirska Bistrica,45.5697,14.2408,59.9,100,10,1.57,SI,2022-09-13 03:02:23
535,Imbituba,-28.24,-48.6703,62.85,93,97,11.3,BR,2022-09-13 03:02:24
536,Monrovia,6.3005,-10.7969,75.87,86,88,9.66,LR,2022-09-13 03:02:25
537,Lakes Entrance,-37.8811,147.981,57.16,48,52,5.97,AU,2022-09-13 03:02:25
538,Farafangana,-22.8167,47.8333,63.27,93,9,6.35,MG,2022-09-13 03:02:14
539,Hualmay,-11.0964,-77.6139,60.08,84,96,12.62,PE,2022-09-13 03:02:25
540,Pacific Grove,36.6177,-121.9166,67.24,86,6,4.0,US,2022-09-13 03:02:26
541,Poum,-20.2333,164.0167,77.27,75,100,12.15,NC,2022-09-13 03:02:26
542,Xining,36.6167,101.7667,61.02,62,66,2.77,CN,2022-09-13 03:02:27
543,Chancay,-11.5714,-77.2672,59.2,86,86,9.82,PE,2022-09-13 03:02:27
544,Amapa,1.0,-52.0,70.12,99,18,2.01,BR,2022-09-13 03:02:27
545,Freeport,40.6576,-73.5832,75.25,82,100,6.91,US,2022-09-13 02:58:40
546,Havoysund,70.9963,24.6622,41.23,70,100,7.65,NO,2022-09-13 03:02:28
547,Cam Ranh,11.9214,109.1591,89.56,55,20,2.3,VN,2022-09-13 03:02:28
548,Doume,4.2333,13.45,66.78,100,100,2.17,CM,2022-09-13 03:02:29
549,Troitsko-Pechorsk,62.7084,56.1964,43.75,88,100,7.07,RU,2022-09-13 03:03:29
550,Port Antonio,18.18,-76.4612,82.31,81,100,5.46,JM,2022-09-13 03:03:30
551,Koslan,63.4564,48.8989,45.23,95,100,7.09,RU,2022-09-13 03:03:30
552,Marzuq,14.4,46.4667,82.18,46,84,4.09,YE,2022-09-13 03:03:30
553,Vitim,59.4511,112.5578,50.54,88,100,13.85,RU,2022-09-13 03:03:31
554,Lata,40.1629,-8.3327,65.91,87,99,11.79,PT,2022-09-13 03:03:31
555,Kokopo,-4.352,152.2633,87.21,55,7,11.3,PG,2022-09-13 03:03:31
556,Aykhal,66.0,111.5,37.2,78,100,9.69,RU,2022-09-13 03:03:32
557,Cockburn Town,21.4612,-71.1419,83.52,73,1,12.03,TC,2022-09-13 03:03:32
558,Nabire,-3.3667,135.4833,78.62,85,99,1.72,ID,2022-09-13 03:03:32
559,Jahanabad,25.2167,84.9833,78.64,93,100,15.1,IN,2022-09-13 03:03:33
560,Rewa,24.5333,81.3,76.82,88,100,11.52,IN,2022-09-13 03:03:33
561,Ornskoldsvik,63.2909,18.7153,56.35,100,100,6.91,SE,2022-09-13 03:03:33
562,Pemangkat,1.1667,108.9667,78.73,85,100,9.89,ID,2022-09-13 03:03:34
563,George Town,5.4112,100.3354,87.89,76,20,6.91,MY,2022-09-13 02:58:51
564,Saint Anthony,45.0205,-93.218,63.79,77,0,0.0,US,2022-09-13 03:01:16
565,Sergeyevka,53.88,67.4158,50.02,56,98,3.38,KZ,2022-09-13 03:03:34
566,Ambilobe,-13.2,49.05,63.46,82,32,3.91,MG,2022-09-13 03:03:35
567,Tecoanapa,16.5167,-98.75,75.83,92,100,2.44,MX,2022-09-13 03:03:35
